IngredientsId,Ingredients,ServingSize,Calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Carbohydrate,Fiber,Sugars,Protein,Fat,Caffeine,Source,Date,IsAllergen,Food_allergen_ID,Food,Food_Class,Food_Type,Food_Group,Allergy_Type
101001,Winter Squash,,,,,,,,,,,,,,,No,,,,,,
101002,Mexican Seasoning,,,,,,,,,,,,,,,No,,,,,,
101003,Mixed Spice,,,,,,,,,,,,,,,No,,,,,,
101004,Honey,100 g,,,,,,82.40 g,0.2 g,0.2 g,0.22 mg,0.00 g,0.20 g,,,Yes,FA069,Honey,Animal origin,Bee product,Bee product,Honey Allergy
101005,Butter,100 g,,,,,,0.06 g,0.0 g,0.0 g,0.09 mg,81.11 g,0.09 g,,,Yes,FA020,Butter,Animal origin,Dairy,Dairy,Milk allergy / Lactose intolerance
101006,Olive Oil,100 g,884,100g,14g,0mg,0mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101007,Salt,100 g,,,,,,0.00 g,0.0 g,0.0 g,0.10 mg,0.00 g,99.80 g,,,No,,,,,,
101008,Prepared Pizza Crust,,,,,,,,,,,,,,,No,,,,,,
101009,Sausage Patty,100 g,317,26g,9g,71mg,740mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101010,Eggs,100 g,,,,,,7.50 g,0.0 g,0.0 g,0.14 mg,5.60 g,1.10 g,,,Yes,FA053,Eggs,Animal origin,Poultry,Egg,Poultry Allergy
101011,Milk,100 g,,,,,,5.36 g,0.0 g,0.0 g,0.54 mg,7.00 g,0.96 g,,,Yes,FA096,Milk,Animal origin,Dairy,Dairy,Milk allergy / Lactose intolerance
101012,Salt And Pepper,,,,,,,,,,,,,,,No,,,,,,
101013,Cheese,100 g,,,,,,0.46 g,0.0 g,0.0 g,2.38 mg,24.26 g,3.68 g,,,Yes,FA032,Cheese,Animal origin,Dairy,Dairy,Milk allergy / Lactose intolerance
101014,Ground Beef,,,,,,,,,,,,,,,No,,,,,,
101015,Yellow Onions,100 g,40,0.1g,0g,0mg,4mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101016,Diced Tomatoes,,,,,,,,,,,,,,,No,,,,,,
101017,Tomato Paste,100 g,82,0.5g,0.1g,0mg,55mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101018,Tomato Soup,,,,,,,,,,,,,,,No,,,,,,
101019,Rotel Tomatoes,,,,,,,,,,,,,,,No,,,,,,
101020,Kidney Beans,,,,,,,,,,,,,,,No,,,,,,
101021,Water,100 g,,,,,,0.00 g,0.0 g,0.0 g,0.00 mg,0.00 g,0.07 g,,,No,,,,,,
101022,Chili Powder,100 g,282,14.3g,2.4g,0mg,189mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101023,Ground Cumin,100 g,375,22.3g,1.5g,0mg,168mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101024,Lettuce,100 g,,,,,,3.29 g,2.1 g,2.1 g,0.23 mg,0.30 g,0.58 g,,,No,,,,,,
101025,Cheddar Cheese,100 g,403,33g,19g,105mg,621mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101026,Spreadable Cheese With Garlic And Herbs,,,,,,,,,,,,,,,No,,,,,,
101027,New Potatoes,100 g,87,0.1g,0g,0mg,7mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101028,Shallots,100 g,,,,,,16.80 g,3.2 g,3.2 g,0.40 mg,0.10 g,0.80 g,,,No,,,,,,
101029,Parsley,100 g,,,,,,42.38 g,32.7 g,32.7 g,6.11 mg,5.20 g,19.12 g,,,Yes,FA110,Parsley,Plant origin,Vegetable,Umbelliferous vegetable,Hypersensitivity
101030,Tarragon,100 g,295,7.2g,1.9g,0mg,62mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101031,Red Wine Vinegar,100 g,19,0g,0g,0mg,5mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101032,Pepper,100 g,,,,,,5.35 g,3.4 g,3.4 g,0.25 mg,0.45 g,0.73 g,,,No,,,,,,
101033,Red Bell Pepper,100 g,31,0.3g,0.1g,0mg,4mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101034,Yellow Bell Pepper,100 g,27,0.2g,0.1g,0mg,2mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101035,Tomato Juice,100 g,,,,,,3.53 g,0.4 g,0.4 g,0.11 mg,0.29 g,1.09 g,,,No,,,,,,
101036,Apple Cider Vinegar,100 g,22,0g,0g,0mg,5mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101037,Sugar,100 g,,,,,,99.80 g,0,0,0,0.00 g,0.17 g,,,Yes,FA155,Sugar,Plant origin,Vegetable,Sugar source,Sugar Allergy / Intolerance
101038,Clove Oil,100 g,900,13g,19.7g,0mg,0mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101039,Cinnamon Oil,100 g,900,100g,19g,0mg,0mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101040,Dry Mustard,100 g,379,11.1g,0.8g,0mg,13mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101041,Vanilla Ice Cream,100 g,207,11g,6.8g,44mg,80mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101042,Frozen Apple Juice Concentrate,100 g,217,0.2g,0.1g,0mg,20mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101043,Apple,100 g,52,0.2g,0g,0mg,1mg,,,,,,,ChatGPT,9/22/2024,Yes,FA002,Apple,Plant origin,Fruit,Pome fruit,Oral Allergy Syndrome
101044,Fennel Seeds,100 g,345,14.9g,0.5g,0mg,88mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101045,Green Olives,100 g,115,10.7g,1.4g,0mg,1556mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101046,Ripe Olives,100 g,115,11g,1.4g,0mg,735mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101047,Garlic,100 g,,,,,,33.06 g,2.1 g,2.1 g,1.16 mg,0.50 g,1.50 g,,,Yes,FA056,Garlic,Plant origin,Vegetable,Liliaceous vegetable,Allium Allergy
101048,Peppercorn,100 g,251,3.3g,1.4g,0mg,44mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101049,Orange Rind,,,,,,,,,,,,,,,No,,,,,,
101050,Orange Juice,100 g,,,,,,10.40 g,0.2 g,0.2 g,0.05 mg,0.20 g,0.40 g,,,No,,,,,,
101051,Red Chile,100 g,282,14g,2.5g,0mg,189mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101052,Extra Virgin Olive Oil,100 g,884,100g,14g,0mg,0mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101053,Pork Spareribs,100 g,316,28.3g,10.4g,94mg,71mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101054,Soy Sauce,100 g,,,,,,14.44 g,0.3 g,0.3 g,0.25 mg,0.31 g,13.74 g,,,No,,,,,,
101055,Fresh Garlic,100 g,149,0.5g,0.1g,0mg,17mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101056,Fresh Ginger,100 g,80,0.8g,0.2g,0mg,13mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101057,Fresh Coarse Ground Black Pepper,100 g,251,3.3g,1.4g,0mg,44mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101058,Fresh Cilantro Leaves,100 g,23,0.5g,0g,0mg,46mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101059,Tomato Sauce,100 g,,,,,,5.31 g,1.5 g,1.5 g,0.22 mg,0.30 g,1.92 g,,,No,,,,,,
101060,Brown Sugar,100 g,380,0g,0g,0mg,28mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101061,Yellow Onion,100 g,40,0.1g,0g,0mg,4mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101062,White Vinegar,100 g,18,0g,0g,0mg,1mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101063,A.1. Original Sauce,100 g,200,0g,0g,0mg,1000mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101064,Liquid Smoke,100 g,8,0g,0g,0mg,354mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101065,Cracked Black Pepper,100 g,251,3.3g,1.4g,0mg,44mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101066,Cumin,100 g,375,22.3g,1.5g,0mg,168mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101067,Cinnamon Sticks,100 g,247,1.2g,0.3g,0mg,10mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101068,"Orange, Juice Of",100 g,45,0.1g,0g,0mg,1mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101069,Mirin,100 g,134,0g,0g,0mg,9mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101070,Chocolate Sandwich Style Cookies,,,,,,,,,,,,,,,No,,,,,,
101071,Chocolate Syrup,100 g,279,0.7g,0g,0mg,76mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101072,Bananas,100 g,89,89,0.1g,0.1g,0mg,22.84 g,2.6 g,2.6 g,0.15 mg,0.33 g,0.82 g,ChatGPT,9/22/2024,No,,,,,,
101073,Strawberry Ice Cream,100 g,197,11g,7g,44mg,68mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101074,Whipped Cream,100 g,257,26.9g,17.1g,106mg,35mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101075,Unsalted Butter,100 g,717,81.1g,51.4g,215mg,11mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101076,Fresh Lemon Juice,100 g,22,0.2g,0g,0mg,1mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101077,Cake Flour,100 g,364,1g,0g,0mg,2mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101078,Baking Soda,100 g,0,0g,0g,0mg,27375mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101079,Whole Berry Cranberry Sauce,100 g,159,0.1g,0g,0mg,29mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101080,Sour Cream,100 g,214,214,12.4g,12.4g,60mg,15.60 g,0.0 g,0.0 g,0.50 mg,0.00 g,0.70 g,ChatGPT,9/22/2024,No,,,,,,
101081,Prepared Horseradish,100 g,48,2.6g,0.5g,0mg,120mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101082,Vanilla Wafers,100 g,472,18.9g,9.4g,63mg,389mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101083,Powdered Sugar,100 g,389,0g,0g,0mg,1mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101084,Whipping Cream,100 g,257,26.9g,17.1g,106mg,35mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101085,Strawberry,100 g,32,0.3g,0g,0mg,1mg,,,,,,,ChatGPT,9/22/2024,Yes,FA154,Strawberry,Plant origin,Fruit,Berry,Salicylate Allergy
101086,Walnuts,100 g,654,65.2g,6.1g,0mg,2mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101087,Great Northern Bean,,,,,,,,,,,,,,,No,,,,,,
101088,Chicken Bouillon Cubes,100 g,5,0g,0g,0mg,20000mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101089,Dark Brown Sugar,100 g,380,0g,0g,0mg,28mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101090,Molasses,100 g,290,290,0g,0g,0mg,74.73 g,0.0 g,0.0 g,0.29 mg,0.10 g,3.30 g,ChatGPT,9/22/2024,No,,,,,,
101091,Cornstarch,100 g,381,381,0g,0g,0mg,91.27 g,0.9 g,0.9 g,0.06 mg,0.05 g,0.09 g,ChatGPT,9/22/2024,No,,,,,,
101092,Onion,100 g,40,0.1g,0g,0mg,4mg,,,,,,,ChatGPT,9/22/2024,Yes,FA106,Onion,Plant origin,Vegetable,Liliaceous vegetable,Allium Allergy
101093,Garlic Powder,100 g,331,0.7g,0.1g,0mg,60mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101094,Mustard Powder,100 g,508,36.2g,2.2g,0mg,35mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101095,Black Pepper,100 g,251,3.3g,1.4g,0mg,20mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101096,Bacon,100 g,541,541,14.1g,14.1g,82mg,5.31 g,2.6 g,2.6 g,0.42 mg,29.52 g,4.50 g,ChatGPT,9/22/2024,No,,,,,,
101097,Collard Greens,100 g,32,0.6g,0g,0mg,17mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101098,Hot Sauce,100 g,11,0.5g,0g,0mg,1203mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101099,Whiskey,100 g,250,0g,0g,0mg,0mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101100,Ham Hock,100 g,349,26.3g,9.2g,70mg,1200mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101101,Gentian Root,100 g,300,0.1g,0g,0mg,4mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101102,Scullcap Herb,,,,,,,,,,,,,,,No,,,,,,
101103,Burnet Root,100 g,280,0g,0g,0mg,3mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101104,Wood Bethony,,,,,,,,,,,,,,,No,,,,,,
101105,Spearmint,100 g,70,70,0.3g,0.3g,0mg,52.04 g,29.8 g,29.8 g,2.41 mg,6.03 g,10.70 g,ChatGPT,9/22/2024,Yes,FA151,Spearmint,Plant origin,Spice and herb,Herb,Mint Allergy
101106,Lean Pork Chops,100 g,172,7.1g,2.4g,67mg,60mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101107,Flour,100 g,364,1g,0.2g,0mg,2mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101108,Oil,100 g,884,884,15g,15g,0mg,0.00 g,0.0 g,0.0 g,0.00 mg,100.00 g,0.00 g,ChatGPT,9/22/2024,No,,,,,,
101109,Chicken Rice Soup,100 g,48,1.2g,0.3g,5mg,343mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101110,Egg Roll Wrap,100 g,299,7.6g,2.6g,34mg,620mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
