RecipeID,CategoryID
3000000,2000001
3000001,2000001
3000002,2000001
3000003,2000001
3000004,2000001
3000005,2000002
3000006,2000001
3000007,2000002
3000008,2000001
3000009,2000003
3000010,2000003
3000011,2000003
3000012,2000003
3000013,2000001
3000014,2000004
3000015,2000005
3000016,2000006
3000017,2000001
3000018,2000001
3000019,2000007
3000020,2000001
3000021,2000008
3000022,2000001
3000023,2000001
3000024,2000006
3000025,2000001
3000026,2000001
3000027,2000008
3000028,2000001
3000029,2000009
3000030,2000009
3000031,2000009
3000032,2000010
3000033,2000001
3000034,2000009
3000035,2000001
3000036,2000005
3000037,2000001
3000038,2000001
3000039,2000001
3000040,2000001
3000041,2000009
3000042,2000001
3000043,2000001
3000044,2000009
3000045,2000001
3000046,2000001
3000047,2000003
3000048,2000001
3000049,2000011
3000050,2000011
3000051,2000001
3000052,2000005
3000053,2000001
3000054,2000001
3000055,2000001
3000056,2000001
3000057,2000005
3000058,2000001
3000059,2000009
3000060,2000001
3000061,2000008
3000062,2000010
3000063,2000009
3000064,2000009
3000065,2000005
3000066,2000001
3000067,2000001
3000068,2000001
3000069,2000001
3000070,2000001
3000071,2000001
3000072,2000011
3000073,2000006
3000074,2000006
3000075,2000001
3000076,2000001
3000077,2000001
3000078,2000011
3000079,2000005
3000080,2000005
3000081,2000005
3000082,2000005
3000083,2000001
3000084,2000001
3000085,2000001
3000086,2000006
3000087,2000008
3000088,2000003
3000089,2000001
3000090,2000009
3000091,2000005
3000092,2000001
3000093,2000011
3000094,2000009
3000095,2000001
3000096,2000001
3000097,2000001
3000098,2000001
3000099,2000001
3000100,2000001
3000101,2000001
3000102,2000001
3000103,2000005
3000104,2000003
3000105,2000008
3000106,2000008
3000107,2000008
3000108,2000008
3000109,2000008
3000110,2000009
3000111,2000008
3000112,2000008
3000113,2000008
3000114,2000008
3000115,2000009
3000116,2000006
3000117,2000006
3000118,2000012
3000119,2000006
3000120,2000001
3000121,2000008
3000122,2000001
3000123,2000001
3000124,2000001
3000125,2000001
3000126,2000006
3000127,2000001
3000128,2000008
3000129,2000003
3000130,2000001
3000131,2000008
3000132,2000009
3000133,2000009
3000134,2000001
3000135,2000003
3000136,2000001
3000137,2000005
3000138,2000001
3000139,2000001
3000140,2000001
3000141,2000001
3000142,2000001
3000143,2000001
3000144,2000009
3000145,2000009
3000146,2000006
3000147,2000009
3000148,2000001
3000149,2000008
3000150,2000007
3000151,2000009
3000152,2000001
3000153,2000001
3000154,2000008
3000155,2000001
3000156,2000001
3000157,2000008
3000158,2000008
3000159,2000008
3000160,2000001
3000161,2000008
3000162,2000001
3000163,2000001
3000164,2000008
3000165,2000012
3000166,2000009
3000167,2000001
3000168,2000011
3000169,2000006
3000170,2000007
3000171,2000001
3000172,2000009
3000173,2000001
3000174,2000008
3000175,2000001
3000176,2000001
3000177,2000001
3000178,2000009
3000179,2000008
3000180,2000009
3000181,2000001
3000182,2000001
3000183,2000005
3000184,2000009
3000185,2000001
3000186,2000005
3000187,2000001
3000188,2000001
3000189,2000001
3000190,2000001
3000191,2000011
3000192,2000006
3000193,2000006
3000194,2000006
3000195,2000001
3000196,2000013
3000197,2000001
3000198,2000004
3000199,2000001
3000200,2000008
3000201,2000001
3000202,2000001
3000203,2000012
3000204,2000001
3000205,2000014
3000206,2000001
3000207,2000001
3000208,2000005
3000209,2000001
3000210,2000003
3000211,2000001
3000212,2000006
3000213,2000009
3000214,2000008
3000215,2000008
3000216,2000006
3000217,2000001
3000218,2000001
3000219,2000001
3000220,2000008
3000221,2000001
3000222,2000008
3000223,2000001
3000224,2000009
3000225,2000015
3000226,2000011
3000227,2000003
3000228,2000001
3000229,2000001
3000230,2000001
3000231,2000001
3000232,2000001
3000233,2000008
3000234,2000001
3000235,2000012
3000236,2000005
3000237,2000012
3000238,2000008
3000239,2000001
3000240,2000003
3000241,2000008
3000242,2000001
3000243,2000001
3000244,2000001
3000245,2000001
3000246,2000001
3000247,2000001
3000248,2000001
3000249,2000001
3000250,2000005
3000251,2000001
3000252,2000008
3000253,2000008
3000254,2000001
3000255,2000003
3000256,2000001
3000257,2000001
3000258,2000001
3000259,2000008
3000260,2000001
3000261,2000001
3000262,2000005
3000263,2000009
3000264,2000008
3000265,2000008
3000266,2000008
3000267,2000001
3000268,2000006
3000269,2000001
3000270,2000009
3000271,2000001
3000272,2000008
3000273,2000001
3000274,2000008
3000275,2000001
3000276,2000001
3000277,2000001
3000278,2000009
3000279,2000001
3000280,2000001
3000281,2000001
3000282,2000012
3000283,2000001
3000284,2000008
3000285,2000009
3000286,2000009
3000287,2000006
3000288,2000001
3000289,2000001
3000290,2000005
3000291,2000005
3000292,2000006
3000293,2000012
3000294,2000001
3000295,2000001
3000296,2000008
3000297,2000003
3000298,2000001
3000299,2000008
3000300,2000005
3000301,2000001
3000302,2000005
3000303,2000001
3000304,2000001
3000305,2000001
3000306,2000001
3000307,2000008
3000308,2000008
3000309,2000012
3000310,2000008
3000311,2000001
3000312,2000008
3000313,2000001
3000314,2000001
3000315,2000001
3000316,2000008
3000317,2000001
3000318,2000009
3000319,2000012
3000320,2000008
3000321,2000008
3000322,2000009
3000323,2000001
3000324,2000012
3000325,2000014
3000326,2000006
3000327,2000003
3000328,2000001
3000329,2000001
3000330,2000001
3000331,2000008
3000332,2000001
3000333,2000001
3000334,2000008
3000335,2000001
3000336,2000006
3000337,2000001
3000338,2000001
3000339,2000011
3000340,2000001
3000341,2000011
3000342,2000001
3000343,2000001
3000344,2000001
3000345,2000006
3000346,2000014
3000347,2000003
3000348,2000001
3000349,2000008
3000350,2000001
3000351,2000001
3000352,2000008
3000353,2000009
3000354,2000008
3000355,2000001
3000356,2000001
3000357,2000001
3000358,2000001
3000359,2000009
3000360,2000001
3000361,2000001
3000362,2000005
3000363,2000001
3000364,2000009
3000365,2000006
3000366,2000001
3000367,2000009
3000368,2000001
3000369,2000006
3000370,2000003
3000371,2000006
3000372,2000005
3000373,2000003
3000374,2000011
3000375,2000008
3000376,2000009
3000377,2000006
3000378,2000004
3000379,2000005
3000380,2000008
3000381,2000001
3000382,2000009
3000383,2000001
3000384,2000001
3000385,2000011
3000386,2000001
3000387,2000001
3000388,2000009
3000389,2000008
3000390,2000001
3000391,2000001
3000392,2000001
3000393,2000005
3000394,2000003
3000395,2000008
3000396,2000001
3000397,2000001
3000398,2000001
3000399,2000001
3000400,2000001
3000401,2000003
3000402,2000001
3000403,2000001
3000404,2000001
3000405,2000001
3000406,2000001
3000407,2000009
3000408,2000008
3000409,2000009
3000410,2000008
3000411,2000008
3000412,2000001
3000413,2000001
3000414,2000001
3000415,2000012
3000416,2000008
3000417,2000011
3000418,2000001
3000419,2000001
3000420,2000003
3000421,2000001
3000422,2000001
3000423,2000001
3000424,2000009
3000425,2000001
3000426,2000001
3000427,2000011
3000428,2000009
3000429,2000009
3000430,2000001
3000431,2000012
3000432,2000001
3000433,2000001
3000434,2000001
3000435,2000001
3000436,2000001
3000437,2000006
3000438,2000012
3000439,2000012
3000440,2000006
3000441,2000009
3000442,2000001
3000443,2000001
3000444,2000001
3000445,2000003
3000446,2000001
3000447,2000001
3000448,2000009
3000449,2000011
3000450,2000011
3000451,2000008
3000452,2000001
3000453,2000001
3000454,2000009
3000455,2000001
3000456,2000009
3000457,2000001
3000458,2000001
3000459,2000008
3000460,2000001
3000461,2000006
3000462,2000003
3000463,2000005
3000464,2000005
3000465,2000003
3000466,2000006
3000467,2000003
3000468,2000001
3000469,2000008
3000470,2000009
3000471,2000001
3000472,2000001
3000473,2000001
3000474,2000013
3000475,2000012
3000476,2000008
3000477,2000012
3000478,2000009
3000479,2000001
3000480,2000011
3000481,2000011
3000482,2000008
3000483,2000016
3000484,2000001
3000485,2000012
3000486,2000016
3000487,2000001
3000488,2000001
3000489,2000003
3000490,2000008
3000491,2000001
3000492,2000001
3000493,2000009
3000494,2000001
3000495,2000009
3000496,2000012
3000497,2000004
3000498,2000001
3000499,2000001
3000500,2000006
3000501,2000006
3000502,2000006
3000503,2000006
3000504,2000001
3000505,2000008
3000506,2000012
3000507,2000001
3000508,2000009
3000509,2000008
3000510,2000001
3000511,2000001
3000512,2000006
3000513,2000009
3000514,2000001
3000515,2000011
3000516,2000001
3000517,2000001
3000518,2000001
3000519,2000001
3000520,2000001
3000521,2000011
3000522,2000008
3000523,2000001
3000524,2000001
3000525,2000001
3000526,2000015
3000527,2000008
3000528,2000001
3000529,2000001
3000530,2000001
3000531,2000001
3000532,2000006
3000533,2000001
3000534,2000012
3000535,2000001
3000536,2000001
3000537,2000001
3000538,2000001
3000539,2000001
3000540,2000012
3000541,2000013
3000542,2000011
3000543,2000001
3000544,2000004
3000545,2000001
3000546,2000001
3000547,2000001
3000548,2000001
3000549,2000001
3000550,2000001
3000551,2000001
3000552,2000001
3000553,2000005
3000554,2000015
3000555,2000009
3000556,2000001
3000557,2000009
3000558,2000001
3000559,2000006
3000560,2000003
3000561,2000006
3000562,2000004
3000563,2000005
3000564,2000005
3000565,2000001
3000566,2000001
3000567,2000009
3000568,2000009
3000569,2000008
3000570,2000001
3000571,2000005
3000572,2000001
3000573,2000005
3000574,2000001
3000575,2000005
3000576,2000009
3000577,2000009
3000578,2000008
3000579,2000001
3000580,2000001
3000581,2000001
3000582,2000001
3000583,2000008
3000584,2000001
3000585,2000009
3000586,2000002
3000587,2000001
3000588,2000002
3000589,2000009
3000590,2000003
3000591,2000003
3000592,2000005
3000593,2000001
3000594,2000001
3000595,2000001
3000596,2000001
3000597,2000002
3000598,2000001
3000599,2000001
3000600,2000001
3000601,2000005
3000602,2000003
3000603,2000003
3000604,2000003
3000605,2000001
3000606,2000001
3000607,2000001
3000608,2000001
3000609,2000001
3000610,2000003
3000611,2000003
3000612,2000001
3000613,2000001
3000614,2000003
3000615,2000001
3000616,2000001
3000617,2000003
3000618,2000003
3000619,2000001
3000620,2000009
3000621,2000001
3000622,2000001
3000623,2000001
3000624,2000001
3000625,2000008
3000626,2000003
3000627,2000001
3000628,2000001
3000629,2000001
3000630,2000001
3000631,2000001
3000632,2000003
3000633,2000001
3000634,2000009
3000635,2000001
3000636,2000003
3000637,2000003
3000638,2000001
3000639,2000001
3000640,2000003
3000641,2000003
3000642,2000001
3000643,2000001
3000644,2000005
3000645,2000003
3000646,2000001
3000647,2000011
3000648,2000010
3000649,2000003
3000650,2000009
3000651,2000001
3000652,2000001
3000653,2000002
3000654,2000016
3000655,2000003
3000656,2000010
3000657,2000001
3000658,2000001
3000659,2000003
3000660,2000001
3000661,2000001
3000662,2000001
3000663,2000009
3000664,2000001
3000665,2000004
3000666,2000001
3000667,2000001
3000668,2000001
3000669,2000001
3000670,2000005
3000671,2000001
3000672,2000001
3000673,2000003
3000674,2000003
3000675,2000001
3000676,2000003
3000677,2000003
3000678,2000001
3000679,2000001
3000680,2000002
3000681,2000001
3000682,2000001
3000683,2000003
3000684,2000001
3000685,2000001
3000686,2000001
3000687,2000001
3000688,2000001
3000689,2000008
3000690,2000003
3000691,2000003
3000692,2000003
3000693,2000003
3000694,2000005
3000695,2000001
3000696,2000001
3000697,2000001
3000698,2000001
3000699,2000009
3000700,2000001
3000701,2000001
3000702,2000001
3000703,2000003
3000704,2000005
3000705,2000009
3000706,2000003
3000707,2000001
3000708,2000003
3000709,2000012
3000710,2000005
3000711,2000009
3000712,2000001
3000713,2000001
3000714,2000003
3000715,2000001
3000716,2000001
3000717,2000001
3000718,2000001
3000719,2000001
3000720,2000001
3000721,2000009
3000722,2000001
3000723,2000001
3000724,2000001
3000725,2000001
3000726,2000001
3000727,2000005
3000728,2000003
3000729,2000001
3000730,2000001
3000731,2000001
3000732,2000001
3000733,2000001
3000734,2000001
3000735,2000003
3000736,2000005
3000737,2000001
3000738,2000001
3000739,2000003
3000740,2000001
3000741,2000001
3000742,2000012
3000743,2000001
3000744,2000001
3000745,2000001
3000746,2000001
3000747,2000005
3000748,2000001
3000749,2000001
3000750,2000001
3000751,2000001
3000752,2000002
3000753,2000001
3000754,2000001
3000755,2000001
3000756,2000001
3000757,2000009
3000758,2000001
3000759,2000008
3000760,2000001
3000761,2000001
3000762,2000001
3000763,2000010
3000764,2000001
3000765,2000003
3000766,2000001
3000767,2000001
3000768,2000010
3000769,2000001
3000770,2000003
3000771,2000001
3000772,2000001
3000773,2000003
3000774,2000001
3000775,2000001
3000776,2000001
3000777,2000005
3000778,2000001
3000779,2000001
3000780,2000001
3000781,2000003
3000782,2000003
3000783,2000001
3000784,2000003
3000785,2000001
3000786,2000008
3000787,2000002
3000788,2000001
3000789,2000001
3000790,2000001
3000791,2000001
3000792,2000005
3000793,2000005
3000794,2000001
3000795,2000001
3000796,2000001
3000797,2000016
3000798,2000001
3000799,2000001
3000800,2000001
3000801,2000009
3000802,2000014
3000803,2000001
3000804,2000001
3000805,2000015
3000806,2000001
3000807,2000001
3000808,2000008
3000809,2000008
3000810,2000009
3000811,2000009
3000812,2000016
3000813,2000001
3000814,2000001
3000815,2000001
3000816,2000001
3000817,2000010
3000818,2000010
3000819,2000001
3000820,2000001
3000821,2000001
3000822,2000001
3000823,2000001
3000824,2000001
3000825,2000001
3000826,2000001
3000827,2000001
3000828,2000001
3000829,2000001
3000830,2000001
3000831,2000001
